"Qualification","Quali"
"MS - Otorhinolaryngology, MD - Physician",4
"BAMS",3
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS, MDS - Periodontics",4
"BAMS, M. D. IN KAYACHIKISTA",4
"MBBS, Post Graduate Diploma in Maternity and Child Health (PGDMCH)",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"DNB - ENT, Diploma in Otorhinolaryngology (DLO), MBBS, Fellowship in Advanced Endoscopic Sinus Surgery",3
"Diploma in Otorhinolaryngology (DLO), MBBS",3
"MBBS, DDV",3
"BHMS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MS - ENT",4
"MBBS, MD - Medicine, MNAMS - Nephrology",4
"BAMS",3
"BAMS",3
"MBBS, MD - Homeopathy",4
"BDS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MS - ENT",4
"BDS",3
"MBBS, MD - Medicine",4
"MBBS, MD - Internal Medicine",4
"BAMS, MD - Ayurveda Medicine",4
"BAMS, MD - Ayurveda Medicine, Fellowship in Medical Cosmetology (FMC)",4
"BDS, MDS - Pedodontics",4
"LCEH, BHMS",3
"MBBS, MD - General Medicine",4
"MDS, BDS",4
"MBBS, MS - ENT",4
"BHMS",3
"BDS, MDS-Oral Pathology and Oral Microbiology, Certificate in Dental Implants",4
"BDS",3
"BAMS",3
"MD - Dermatology, MBBS",4
"MBBS, MD - Alternate Medicine, MD - Skin & VD",4
"BHMS",3
"MBBS, DNB - Family Medicine",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BAMS",3
"BDS",3
"MBBS, DNB - General Surgery, MCh - Plastic Surgery, DAFPRS Fellowship in Aesthetic Surgery",4
"MBBS, DNB - Paediatrics, Fellowship in Pediatric Endocrinology",4
"MBBS, DDVL",3
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"BDS, Fellowship in Oral implantlogy",3
"BHMS",3
"MBBS",3
"MBBS, MS - ENT",4
"BDS, MDS-Oral Pathology and Oral Microbiology",4
"MBBS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"MD - Homeopathy, BHMS",4
"MBBS, DNB - General Medicine, MF- Homeopathy, MSc - Psychotherapy And Counselling, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS",3
"BAMS, MS - Ayurveda",4
"B.Sc, MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, MDS - Orthodontics",4
"MBBS, MD - Internal Medicine, Post Graduate Diploma in Diabetology (PGDD), PG in Diabetology, Post Graduate Diploma in Diabetology (PGDD), Post Graduate Diploma in Diabetology (PGDD), Fellowship in Diabetology",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"MBBS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BDS",3
"BAMS",3
"MBBS, Diploma in Dermatology",3
"MD - Homeopathy",4
"DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy, Diploma in Dermatology, MBBS",3
"BAMS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS, MD - Pediatrics",4
"MBBS, DDVL",3
"MBBS, PGDHHM",4
"BDS, MDS",4
"MBBS, DDV",3
"DVD, MBBS",3
"FRGUHS, MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BHMS, PG Diploma In Clinical Cosmetology (PGDCC)",4
"BHMS, MD - Homeopathy",4
"MBBS, DNB - General Surgery, Diploma in Urology",3
"BHMS",3
"BDS, Certificate of Oral Implantology",3
"MBBS, DDV",3
"BDS",3
"MBBS, MD - Medicine",4
"MBBS, DNB - General Medicine",3
"MDS - Prosthodontics, BDS, Certificate in Cosmetic Dentistry",4
"MBBS, DDVL, DNB",3
"MRCP (UK), MD - Physician",4
"BDS",3
"MBBS, DDVL",3
"BDS, MDS - Prosthodontics",4
"BDS, MDS - Oral Medicine and Radiology",4
"MBBS, Diploma in Anesthesiology, Post Graduate Diploma in Diabetology (PGDD)",4
"BHMS",3
"BDS, MDS - Prosthodontics, MSc - Master of Oral Implantology (MOI), Certificate in Cosmetic Dentistry",4
"DNB - Dermatology & Venereology",1
"BAMS, MD - Ayurveda Medicine",4
"M. D. Hom. (Practice of Medicine), BHMS",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS",4
"BDS",3
"BAMS, MD - Ayurveda Medicine",4
"BAMS",3
"MBBS, MD - Dermatology, FRCPCH",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BHMS, MSc - Psychology, M Phil Psychology, MD - Homeopathy",4
"MBBS, MS - General Surgery, DNB - ENT, PDCC - Hand, MCh - Surgical Oncology",4
"MBBS",3
"BDS, MDS",4
"BAMS",3
"BHMS",3
"BAMS",3
"BDS",3
"BDS, MDS - Prosthodontics",4
"BDS, MDS",4
"MBBS, Post Graduate Diploma in Hospital & Healthcare Management",4
"BAMS",3
"BHMS, CGO",3
"BDS, Certificate of Oral Implantology",3
"BAMS",3
"BHMS",3
"BDS, MDS - Periodontology and Oral Implantology, PG in Laser Dentistry",4
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS, MDS - Orthodontics, Certificate of Oral Implantology",4
"MBBS, DNB - Family Medicine",3
"BAMS",3
"BDS",3
"DNB - Dermatology & Venereology, DVD, MBBS, MCPS",4
"BDS",3
"MBBS, MD - General Medicine",4
"BDS",3
"MBBS, DDVL",3
"BHMS",3
"BHMS, PG Diploma In Clinical Cosmetology (PGDCC), Diploma in Diet and Nutrition, Diploma in Obesity & Pain management",4
"BAMS, Post Graduate Diploma in Health, Family Welfare and Population",4
"DHMS (Diploma in Homeopathic Medicine and Surgery), DIH, B.Sc",3
"BHMS",3
"BAMS",3
"BAMS, MD - Ayurveda Medicine",4
"BDS",3
"BDS",3
"BAMS, Doctor of Medicine",4
"BAMS, M.D. Panchakarma, M.Sc. Yoga and Naturopathy",4
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",4
"BAMS, MS - Ayurveda",4
"MBBS, MD - General Medicine",4
"BDS",3
"BDS",3
"BDS, MDS - Periodontics",4
"MBBS, FCPS - Dermatology, Venereology & Leprosy",3
"BDS",3
"MBBS, Diploma in Health Administration",3
"BHMS",3
"MDS - Orthodontics",4
"Diploma in Otorhinolaryngology (DLO), Diploma in ENT",1
"Get inspired by remarkable stories of people like you",0
"BHMS, MD - Homeopathy",4
"BDS, MD - Acupressure, Certification in Clear Aligners, Certificate in Botox and Fillers, MD - Pain Management",4
"BDS",3
"MBBS, MS - ENT",4
"BDS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MD - Medicine, MBBS",4
"MBBS, DDVL, DNB - Dermatology & Venereology",3
"BAMS, MD - Pharmacology",4
"BDS",3
"BHMS",3
"MDS - Periodontology and Oral Implantology, BDS",4
"MBBS, PG Diploma In Clinical Cosmetology (PGDCC), Certified in Hair Transplantation",4
"BAMS, MD- Dravya Guna, PhD- Ayurveda",5
"MD - Dermatology, MBBS",4
"MDS - Orthodontics, BDS",4
"MBBS, MD - Pediatrics",4
"BAMS",3
"MBBS, DNB - General Medicine, FICA",3
"MD - Dermatology , Venereology & Leprosy, Fellowship in Aesthetic Medicine, MBBS",4
"MBBS, Fellowship in Diabetology",3
"MBBS",3
"BDS, MDS - Pedodontics",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Prosthodontics",4
"BDS",3
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BHMS",3
"BAMS, Diploma in Dietetics, Health and Nutrition (DDHN), Post Graduate Diploma In Yoga, Certified In Panchkarma",4
"BAMS, MS - Ayurveda",4
"MBBS",3
"BHMS",3
"BDS, MDS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Dermatology , Venereology & Leprosy, MBBS, DVL",4
"MBBS, MD - General Medicine",4
"BAMS",3
"MBBS, MD - Medicine",4
"BHMS",3
"BAMS, MS - Ayurveda",4
"BDS, MDS - Orthodontics",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, MDS - Pedodontics",4
"MBBS",3
"MBBS, MS - ENT, FCCM",4
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS",3
"MDS - Prosthodontist And Crown Bridge, Fellowship and Diplomate in Implantology from ICOI (USA), BDS",4
"BDS",3
"MD - Dermatology, DDV, FCPS - Dermatology, Venereology & Leprosy, MBBS",4
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"BDS, Diplomate in Neuromuscular Functional Orthodontics And Gathology, Post Graduate Diploma in Orthodontics",4
"MBBS",3
"MBBS, DDVL",3
"MBBS, MD - Obstetrics & Gynaecology",4
"MBBS, DDVL, FRGUHS, Fellowship In Cosmetic Dermatology",3
"BAMS",3
"B.Sc, MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"BAMS, MD - Ayurveda Medicine",4
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, DDVL",3
"BDS, MDS - Orthodontics, Fellowship in Oral implantlogy",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Pharmacology",4
"BHMS, MD - General Medicine",4
"MBBS, MD - Medicine",4
"BDS, MDS - Public Health Dentistry",4
"BHMS, MD - Homeopathy",4
"Diploma in Otorhinolaryngology (DLO), MBBS",3
"MBBS",3
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",3
"MBBS, DDVL, DNB",3
"MBBS, DNB - Dermatology & Venereology, DDVL",3
"BAMS, MD - General Medicine",4
"BAMS",3
"MBBS, MS - ENT",4
"BAMS, Diploma In Pharmacy, MD - Ayurveda Medicine",4
"BAMS",3
"MDS - Preventive and Public Health Dentistry, BDS",4
"MD - Dermatology, MBBS",4
"MBBS, DVD",3
"MBBS, MD - General Medicine",4
"MBBS, DNB - General Medicine",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"Get inspired by remarkable stories of people like you",0
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - General Medicine",4
"BHMS",3
"FRCP, MD - General Medicine, DNB - Internal Medicine, MBBS",4
"MD - Homeopathy, DHMS",4
"BAMS, MD - Ayurveda Medicine",4
"BDS",3
"MBBS, MD - Dermatology",4
"MBBS",3
"BDS",3
"MBBS, DDV",3
"BAMS",3
"MBBS, DDVL",3
"BAMS",3
"MBBS, DDVL",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"DDVL, MBBS",3
"MBBS, MD - Dermatology",4
"BDS",3
"BHMS",3
"MBBS, MD - Medicine",4
"BDS, BDS",3
"MD - Dermatology, DDV",4
"BAMS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"MBBS",3
"BDS, MDS - Prosthodontics",4
"MBBS, MD - Dermatology, Diploma in Dermatology",4
"BDS",3
"MBBS, MD - General Medicine",4
"BDS, MDS - Periodontology and Oral Implantology",4
"MBBS, DDVL",3
"MBBS, MD - Dermatology",4
"MDS, BDS",4
"BAMS",3
"MBBS, MS - ENT",4
"MBBS, DDV, MD - Dermatology",4
"MBBS, MD - Dermatology, DVL",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS",3
"BDS, Certified in Orthodontics",3
"BHMS, CGO, Diploma in Child Health (DCH)",3
"MBBS, DDVL, FRGUHS",3
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"MBBS, MS - ENT, DNB - ENT, MNAMS (Membership of the National Academy)",4
"BHMS",3
"BDS, MDS - Orthodontics",4
"BDS",3
"BHMS, Post Graduate Diploma in Emergency Services (PGDEMS), PG Certificate Course In Diabetes Education(PGDCE)",4
"MD - General Medicine, PG in Diabetology (USA), FIMSA",4
"BHMS, MSc - Physiology",4
"BAMS",3
"BDS",3
"MBBS, MS - ENT",4
"BDS",3
"MD - Dermatology , Venereology & Leprosy, DVD, MBBS",4
"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Minimal Access Surgery",4
"BDS, Diploma in Hospital Administration",3
"MBBS, DDVL",3
"BAMS, PG Diploma Clinical Research",4
"MBBS, DO, Diploma in Dietetics & Public Health Nutrition (DDPHN)",3
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - Internal Medicine",4
"MBBS, MRCGP",4
"MBBS, MD - Medicine",4
"BDS",3
"MD - Physician, Robert Turner Diabetes Research Training, WHO/IDF/EASD Cambridge Diabetes Training, FCD - Diabetology, Certificate Course in Evidence Based Diabetes Management (CCEBDM), Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS, MS - ENT",4
"BAMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"BDS, MDS - Oral Medicine and Radiology",4
"MBBS, Master of Public Health (MPH), MD - Internal Medicine",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, DDVL",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"FRCS - Otolaryngology, MS - Otrohinolaryngology, Fellowship In Pediatric Otolaryngology",4
"BDS",3
"BDS, MDS - Prosthodontics",4
"BHMS, MD - Acupuncture, PhD - Acupuncture",5
"MBBS, MD - Dermatology , Venereology & Leprosy, AMI Essentials- Applied Workshop for Aesthetic Procedures, Advanced Course in Cosmetology and Aesthetic Medicine, Certificate Course In Cosmetic Dermatology & Lasers",4
"DNB - Dermatology, Venereology & Leprosy",1
"MS - Otorhinolaryngology, MBBS",4
"BDS",3
"MBBS, MS - Otorhinolaryngology, Fellowship in Micro Ear surgery, Fellowship in Snoring Surgery",4
"MBBS, DDVL",3
"BHMS",3
"MBBS, DDV, Diploma in Industrial Health, MSc - Psychotherapy, MS - Psychology",4
"BAMS",3
"BDS, MDS - Pedodontics",4
"BDS",3
"MDS - Periodontology and Oral Implantology, BDS",4
"MS - ENT, MBBS",4
"MS - ENT, MBBS",4
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MBBS, MD - General Medicine",4
"MDS - Conservative Dentistry & Endodontics",4
"MBBS, DLO, DNB - ENT",3
"MDS - Prosthodontist And Crown Bridge",4
"BHMS",3
"BAMS",3
"MBBS",3
"MBBS, MD - Dermatology , Venereology & Leprosy, MRCP (UK)",4
"BDS",3
"MBBS, MS - ENT",4
"BDS, MSc - Master of Oral Implantology (MOI), Certificate in Dental Implants",4
"MDS - Prosthodontics, FICOI, BDS",4
"MBBS, DNB - General Medicine",3
"BHMS",3
"BHMS, MD - Homeopathy",4
"MBBS, MD - General Medicine",4
"MS - Otorhinolaryngology",4
"MBBS",3
"BHMS",3
"BHMS",3
"MDS, BDS",4
"MD - Dermatology",4
"MBBS, Diploma in Dermatology",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MBBS, MD - Dermatology , Venereology & Leprosy, Diploma in Dermatology",4
"BHMS",3
"MS - Otorhinolaryngology",4
"BDS, MPH, MDS - Periodontics",4
"BAMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS, MD - Homoeopathic Philosophy",4
"MBBS",3
"MBBS, MD - Skin & VD",4
"BDS",3
"BAMS, Certification of Life Coach",3
"BDS, Fellowship in Oral implantlogy",3
"BDS",3
"MBBS, Diploma in Child Health (DCH), MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"BHMS, CGO",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS",3
"BDS",3
"BAMS",3
"BAMS",3
"BAMS",3
"MS - ENT, MBBS",4
"MBBS, MD - General Medicine, DM - Cardiology",4
"BHMS",3
"MBBS",3
"MBBS, MD - Dermatology",4
"MBBS, DDVL",3
"MBBS, DNB - Dermatology & Venereology, DDVL, FCPS Skin & VD",3
"BHMS, MS - Psychology",4
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",4
"BHMS",3
"MS - ENT, MBBS, DNB - ENT, Fellow of Academy of General Education (FAGE)",4
"BDS, MDS - Orthodontics",4
"BHMS, PG - Homeo, MD - Alternate Medicine, Post Graduate Diploma in Clinical Research (PGDCR)",4
"BDS, MDS - Periodontics",4
"BAMS",3
"BDS",3
"BHMS",3
"MBBS, MCh - Urology, MS - General Surgery",4
"BAMS",3
"MS - ENT, MBBS",4
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",4
"MBBS, DNB - Dermatology & Venereology",3
"BAMS",3
"DVD, MBBS",3
"BAMS, MD - Ayurveda Medicine",4
"BAMS, MD - Ayurveda Medicine, M.A - Sanskrit",4
"BDS",3
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",4
"MBBS, DDV, MD - Skin,VD & Leprosy",4
"BDS, MDS - Prosthodontics",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology, Fellowship in Cosmetic Surgery",4
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BHMS",3
"BDS",3
"MBBS, MD - General Medicine, DM - Endocrinology, DNB - Endocrinology, Diabetes, Metabolism",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",4
"MD - General Medicine, MBBS",4
"BDS, MDS - Orthodontics",4
"BDS, MDS - Public Health Dentistry",4
"MBBS, MS - ENT",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BAMS",3
"BAMS",3
"BDS",3
"BAMS, Certified Yoga and Pranic healing Therapist , Certified National Diabetes Educator , Bachelor of Acupuncture , Certified Analytical Hypnotherapist, Diploma in Physiotherapy",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology",4
"BDS",3
"MBBS",3
"BAMS",3
"DNB - Dermatology & Venereology, MBBS, MD - Skin & VD",4
"BDS, MDS - Pedodontics",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT",4
"BHMS, Diploma in Cosmetology",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MD - Homeopathy Psychiatry, BHMS",4
"BDS, MDS - Prosthodontics",4
"BDS, MDS - Pedodontics",4
"BHMS",3
"BHMS",3
"BHMS",3
"BAMS",3
"MBBS",3
"Get inspired by remarkable stories of people like you",0
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS",3
"BHMS",3
"MBBS, MS - ENT",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BHMS, MD - Medicine",4
"BHMS, PGDHHM",4
"BHMS",3
"MBBS, MD - General Medicine",4
"MBBS, DDV",3
"MBBS, MD - Dermatology, Fellowship in Aesthetic Medicine",4
"MBBS, MRCP (UK), MSc - Clinical Dermatology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, M.Ch",4
"BAMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB",3
"BDS",3
"MD - Physician",4
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS, PG Diploma In Clinical Cosmetology (PGDCC)",4
"BHMS, Certificate in Medical Cosmetology",3
"BAMS",3
"MBBS, MD - Radiotherapy, FCCS",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MD - Physician",4
"BHMS",3
"MS - Ayurveda, Advanced Course in Cosmetology and Aesthetic Medicine, Certificate course in SUJOK Therapy, BAMS",4
"MD - Dermatology, MBBS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BHMS, Doctor of Homeopathic Medicine (HMD), Certificate in Child Health (CCH), CGO",4
"BAMS",3
"Fellowship In Clinical Cosmetology, BDS, Fellowship In Anti-Aging And Aesthetic Medicine, Fellowship in Aesthetic Dentistry (FAD)",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, MD - Dermatology",4
"Cochlear Implant Surgery, Fellowship Cochlear Implant Training, MBBS, DLO, DNB - ENT",3
"BHMS",3
"MBBS, Fellowship in Diabetology",3
"MBBS, DNB - Dermatology & Venereology, Fellowship in Aesthetic Medicine, MD - Dermatology",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS",3
"BAMS",3
"BDS, MDS - Oral & Maxillofacial Surgery",4
"BAMS",3
"BHMS",3
"MBBS",3
"BDS, MDS - Periodontics, Fellowship in Aesthetic Medicine",4
"BHMS",3
"BHMS, Post Graduate Diploma in Psychological Counseling",4
"BDS, Certificate in Dental Implants",3
"BHMS, MD - Homeopathy",4
"MBBS, MD - Physician, Post Graduate Diploma in Diabetology (PGDD)(Madras Medical College)",4
"MBBS, DDVL",3
"MBBS, DNB, DM - Neurology",3
"BDS",3
"BAMS",3
"B.Sc, MD - Homeopathy",4
"MBBS",3
"BHMS",3
"BDS, Fellowship in Aesthetic Dentistry (FAD)",3
"MBBS, MD - Dermatology",4
"MBBS, DDV",3
"MBBS",3
"BAMS",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BHMS, Diploma in Emergency Medicine",3
"MBBS, MD - Dermatology",4
"MBBS, MS - ENT",4
"BAMS, Diploma in Skin Treatments (UK), Diploma in Diet and Nutrition",3
"Certification of Aesthetic Dentistry & Periodontics, MDS- Oral Pathology, BDS, Fellowship in Implantology",4
"BDS, MDS - Oral Medicine",4
"BHMS, CGO",3
"MBBS, MS - ENT",4
"MBBS, MS - ENT",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MD - General Medicine, FCCM",4
"BHMS",3
"MS - Otorhinolaryngology, MBBS",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MDS - Orthodontics, BDS",4
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"BHMS",3
"MBBS, MD - General Medicine",4
"MD - Dermatology",4
"MBBS, MRCP (UK)",4
"MBBS, MD - Dermatology",4
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS",4
"MBBS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), MCh - Burns & Plastic Surgery",4
"MBBS, MD - Internal Medicine, EULAR Certificate in Rheumatology",4
"MBBS, MS - Ophthalmology, FICO (UK)",4
"MBBS, DNB, Fellowship in Diabetology, Diploma in Cardiology",3
"MD - Homeopathy",4
"BAMS, Post Graduate Diploma In Yoga",4
"BAMS",3
"BHMS",3
"BDS",3
"MBBS, DNB - General Medicine, MD - General Medicine, MRCPS, Member of the Royal College of Physicians, UK (MRCP UK)",4
"MD - Homeopathy",4
"MBBS, MD - Internal Medicine, DNB - Internal Medicine",4
"MBBS, MS - ENT",4
"MBBS, MD - General Medicine",4
"MD - Dermatology",4
"MBBS, DGO",3
"BDS",3
"MBBS, Diploma in Medical Cosmetology",3
"BHMS",3
"BAMS, Fellowship in Gastroenterology",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"BDS",3
"BHMS, MD - Homeopathy",4
"BHMS",3
"MBBS, MD - General Medicine",4
"MBBS, MCh - Urology",4
"MBBS",3
"MD - Dermatology, MBBS",4
"BDS",3
"BHMS, MD - Homeopathy",4
"MBBS, FCPS - Dermatology, Venereology & Leprosy",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"DNB - Dermatology & Venereology, PhD - Dermatology & Venereology",5
"G.A.M.S",0
"BAMS",3
"MBBS",3
"MBBS, MD - General Medicine",4
"BAMS, MD - Ayurveda Medicine",4
"Get inspired by remarkable stories of people like you",0
"MBBS",3
"MBBS, DNB - Pulmonary Medicine, FCCS",4
"MDS - Oral Medicine and Radiology",4
"MBBS, DDVL",3
"BAMS",3
"MDS - Orthodontics, BDS, Post Graduate Certificate Course In Aesthetic Dentistry",4
"BAMS",3
"MBBS, MS - ENT",4
"BAMS",3
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MBBS, MD - General Medicine, FRCP, D.Sc, FACP, FRCP, FRCP",4
"MBBS, MD - Medicine",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MS - ENT, DNB - Otorhinolaryngology",4
"MBBS",3
"MBBS, MS - Otorhinolaryngology",4
"MBBS, Member of the Royal College of General Practitioners UK (MRCGP), Post Graduate Diploma in Diabetology (PGDD)",4
"MBBS, Diploma in Anesthesiology",3
"BDS, MDS",4
"MBBS, MD - Dermatology",4
"BDS, MDS - Oral Medicine and Radiology",4
"MD - Physician",4
"MBBS, PG in Diabetology, PG in Diabetology (USA)",4
"MBBS, MD - Geriatrics",4
"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BDS",3
"BHMS",3
"LCEH",0
"MBBS",3
"MBBS, MD - General Medicine, Advanced Certificate Course In Diabetes, Fellowship in Aesthetic Medicine",4
"BDS, MDS - Periodontology and Oral Implantology, PGDMLS, MDS - Prosthodontics, MDS - Endodontics",4
"BDS",3
"BHMS",3
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS",4
"MBBS",3
"MBBS, Diploma in Medical Radio-Diagnosis",3
"MBBS",3
"BAMS",3
"MBBS, MS - Otorhinolaryngology, FRCS",4
"MD AYURVED AND YOG, BAMS",4
"MD - Skin & VD, DVD, MBBS",4
"MBBS, MD - Internal Medicine",4
"B.Sc, MBBS",3
"MBBS, MD - General Medicine, DM - Endocrinology",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MBBS, MS - ENT",4
"MBBS, MS - ENT",4
"BHMS",3
"BHMS, MD - Alternate Medicine",4
"BHMS",3
"BDS",3
"BHMS",3
"MBBS, MS - ENT",4
"BDS",3
"BDS",3
"MBBS, MD - Dermatology",4
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MD - Homeopathy",4
"MD - General Medicine, DM - Nephrology, MBBS",4
"BDS",3
"BDS, MDS, DICOI",4
"MBBS, MD - General Medicine",4
"MBBS, DVD",3
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",4
"MBBS, DDVL",3
"BHMS",3
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MD - Dermatology, MBBS, Diploma in Medical Cosmetology",4
"BAMS",3
"BAMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO), Post Graduate Diploma in Hospital & Healthcare Management, MS - ENT",4
"BDS, MDS - Conservative Dentistry & Endodontics",4
"BHMS",3
"MBBS",3
"MBBS, MD - Skin & VD, Fellowship In Cosmetic Dermatology, Training Certificate in Hair Transplant",4
"MBBS, MD - Dermatology",4
"MBBS, MS - ENT",4
"MBBS, DDVL",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MS - ENT",4
"MS - Otorhinolaryngology, MBBS, DNB, MBA (HCS), MS - ENT",4
"MBBS, MD - Obstetrics & Gynaecology",4
"BDS",3
"MD - Homeopathy, BHMS",4
"MBBS, MD - General Medicine, Fellowship in Diabetology, Certificate Course in Gestational Diabetes Mellitus",4
"MBBS",3
"MBBS, MD - Internal Medicine",4
"DHMS (Diploma in Homeopathic Medicine and Surgery)",1
"MBBS",3
"BDS, MDS - Periodontology and Oral Implantology",4
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"BDS, MDS - Pedodontics",4
"BAMS, PhD- Ayurveda",5
